"test_id","status","test_group","query","expected_dataset_id","expected_context_layer","expected_dataset_parameters","expected_nudge_type","expected_nudge_options","expected_text","expected_forbidden_tools","difficulty","behaviour","lineage","verified"
"ch-map-187","ready","unmappable","Map the sLUC emission factors for soy","9;no_selection","","","","","Explains that the crop deforestation emission factors are tabular data that cannot be displayed as a map layer. Offering a chart or table of the same data is fine; presenting a different dataset as if it showed these emission factors is not","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","decline","sLUC: tabular only; crop, no place","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-188","ready","unmappable","Put the deforestation emissions per tonne of beef on the map","9;no_selection","","","","","Explains that the crop deforestation emission factors are tabular data that cannot be displayed as a map layer. Offering a chart or table of the same data is fine; presenting a different dataset as if it showed these emission factors is not","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","decline","sLUC: indirect","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-189","ready","unmappable","sLUC EFs map","9;no_selection","","","","","Explains that the crop deforestation emission factors are tabular data that cannot be displayed as a map layer. Offering a chart or table of the same data is fine; presenting a different dataset as if it showed these emission factors is not","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","decline","sLUC: jargon","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-190","ready","unmappable","Show rainfall on the map","no_selection","","","","","Explains that no rainfall data is available to show on the map. Mentioning related datasets is fine; presenting a land or forest dataset as if it showed rainfall is not","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","decline","climate gap (#1 unmet topic)","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-191","ready","unmappable","Show me a temperature map","no_selection","","","","","Explains that no temperature data is available to show on the map. Mentioning related datasets is fine; presenting a land or forest dataset as if it showed temperature is not","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","decline","climate gap","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-192","ready","unmappable","Map drought conditions","no_selection","","","","","Explains that no drought data is available to show on the map. Mentioning related datasets is fine; presenting a land or forest dataset as if it showed drought is not","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","decline","climate gap","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-193","ready","unmappable","Show flood risk on the map","no_selection","","","","","Explains that no flood risk data is available to show on the map. Mentioning related datasets is fine; presenting a land or forest dataset as if it showed flood risk is not","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","decline","hazard gap","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-194","ready","unmappable","Show sea level rise on the map","no_selection","","","","","Explains that no sea level rise data is available to show on the map. Mentioning related datasets is fine; presenting a land or forest dataset as if it showed sea level rise is not","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","decline","climate gap","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-195","ready","unmappable","Show air pollution on the map","no_selection","","","","","Explains that no air pollution data is available to show on the map. Mentioning related datasets is fine; presenting a land or forest dataset as if it showed air pollution is not","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","decline","out of domain","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-196","ready","unmappable","Show wind speeds on the map","no_selection","","","","","Explains that no wind speed data is available to show on the map. Mentioning related datasets is fine; presenting a land or forest dataset as if it showed wind speed is not","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","decline","climate gap","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-197","ready","unmappable","Put precipitation anomalies on the map","no_selection","","","","","Explains that no precipitation data is available to show on the map. Mentioning related datasets is fine; presenting a land or forest dataset as if it showed precipitation is not","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","decline","climate jargon","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-198","ready","unmappable","Show jaguar range on the map","no_selection","","","","","Explains that no species range data is available to show on the map. Mentioning related datasets is fine; presenting a land or forest dataset as if it showed species range is not","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","decline","biodiversity gap","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-199","ready","unmappable","Show population density on the map","no_selection","","","","","Explains that no population density data is available to show on the map. Mentioning related datasets is fine; presenting a land or forest dataset as if it showed population density is not","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","decline","out of domain","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-200","ready","unmappable","soil moisture map","no_selection","","","","","Explains that no soil moisture data is available to show on the map. Mentioning related datasets is fine; presenting a land or forest dataset as if it showed soil moisture is not","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","decline","out of domain, short","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
